Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
1,0.091603,0.000000,0.122137,0.004395,0.000732,0.996338,0.00,0.00,0.00
2,0.259542,0.015267,-0.015267,0.001221,-0.008057,1.001953,0.00,0.00,0.00
3,-0.152672,-0.015267,-0.030534,0.001709,-0.005615,0.997559,0.00,0.00,0.00
4,0.015267,0.175573,0.122137,-0.000488,-0.005127,1.001465,0.00,0.00,0.00
5,0.129771,0.137405,-0.061069,0.006348,-0.016602,0.989258,0.00,0.00,0.00
6,0.030534,-0.038168,0.099237,0.002197,-0.003906,1.000000,0.00,0.00,0.00
7,0.137405,0.244275,-0.129771,-0.000488,-0.007568,0.997803,0.00,0.00,0.00
8,0.068702,-0.198473,0.091603,0.001465,-0.004639,0.993896,0.00,0.00,0.00
9,0.183206,0.038168,-0.099237,-0.001221,-0.003418,0.998535,0.00,0.00,0.00
10,0.015267,0.198473,0.129771,0.003418,-0.013184,0.983887,0.00,0.00,0.00
11,-0.106870,-0.160305,0.076336,-0.000488,-0.003662,0.998047,0.00,0.00,0.00
12,0.183206,0.221374,-0.030534,0.006104,-0.006592,1.007080,0.00,0.00,0.00
13,-0.236641,0.114504,0.000000,0.003418,-0.006348,0.996338,0.00,0.00,0.00
14,-0.076336,0.030534,-0.038168,0.000732,-0.008789,0.996826,0.00,0.00,0.00
15,-0.007634,0.061069,-0.022901,0.009766,-0.009521,0.995850,0.00,0.00,0.00
16,0.167939,-0.129771,-0.030534,0.002930,-0.005371,0.999268,0.00,0.00,0.00
17,0.068702,0.068702,0.007634,-0.002686,-0.009766,0.999512,0.00,0.00,0.00
18,-0.022901,0.083969,0.038168,-0.001953,-0.014893,0.989014,0.00,0.00,0.00
19,-0.038168,0.076336,-0.038168,-0.002197,-0.009277,1.000488,0.00,0.00,0.00
20,0.038168,0.106870,-0.038168,0.005859,-0.013428,0.996338,0.00,0.00,0.00
