Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
1,-0.129771,0.007634,-0.389313,-0.113525,-0.960938,-0.212891,0.00,0.00,0.00
2,-0.259542,-0.106870,-0.328244,-0.113281,-0.956299,-0.211670,0.00,0.00,0.00
3,-0.137405,-0.038168,-0.236641,-0.109863,-0.964844,-0.212646,0.00,0.00,0.00
4,-0.007634,-0.091603,-0.106870,-0.113037,-0.958252,-0.215088,0.00,0.00,0.00
5,-0.206107,-0.068702,-0.007634,-0.117920,-0.959473,-0.219727,0.00,0.00,0.00
6,-0.083969,-0.206107,-0.198473,-0.116943,-0.963623,-0.214600,0.00,0.00,0.00
7,-0.122137,0.038168,-0.015267,-0.116699,-0.961670,-0.218262,0.00,0.00,0.00
8,-0.007634,0.007634,0.061069,-0.116211,-0.958740,-0.218994,0.00,0.00,0.00
9,-0.145038,-0.015267,-0.007634,-0.116455,-0.964844,-0.216064,0.00,0.00,0.00
10,-0.068702,0.122137,0.007634,-0.115723,-0.960449,-0.211670,0.00,0.00,0.00
11,0.198473,-0.244275,-0.167939,-0.119629,-0.960449,-0.218262,0.00,0.00,0.00
12,-0.221374,-0.007634,0.038168,-0.125732,-0.963379,-0.209717,0.00,0.00,0.00
13,-0.106870,-0.145038,-0.114504,-0.115234,-0.965088,-0.214844,0.00,0.00,0.00
14,-0.038168,-0.175573,-0.083969,-0.116699,-0.960938,-0.215332,0.00,0.00,0.00
15,-0.083969,0.038168,-0.129771,-0.113525,-0.959717,-0.213135,0.00,0.00,0.00
16,-0.114504,-0.175573,-0.312977,-0.115967,-0.960449,-0.205078,0.00,0.00,0.00
17,-0.229008,0.160305,-0.244275,-0.113525,-0.959473,-0.214600,0.00,0.00,0.00
18,-0.053435,-0.251908,-0.282443,-0.113770,-0.963135,-0.214844,0.00,0.00,0.00
19,-0.091603,-0.198473,-0.160305,-0.112549,-0.964844,-0.216797,0.00,0.00,0.00
20,-0.152672,-0.076336,-0.244275,-0.118652,-0.959473,-0.222656,0.00,0.00,0.00
21,-0.198473,-0.137405,-0.175573,-0.122559,-0.956299,-0.218994,0.00,0.00,0.00
22,-0.183206,-0.122137,-0.221374,-0.121582,-0.955322,-0.217773,0.00,0.00,0.00
23,-0.038168,-0.053435,-0.251908,-0.115234,-0.963623,-0.219482,0.00,0.00,0.00
24,-0.175573,-0.183206,-0.358779,-0.114258,-0.966553,-0.220703,0.00,0.00,0.00
25,0.000000,-0.160305,-0.213740,-0.119629,-0.957764,-0.209229,0.00,0.00,0.00
26,-0.061069,-0.076336,-0.312977,-0.119141,-0.958984,-0.214111,0.00,0.00,0.00
27,0.007634,-0.129771,-0.267176,-0.111816,-0.958740,-0.209961,0.00,0.00,0.00
28,-0.335878,-0.083969,-0.419847,-0.122559,-0.959717,-0.215820,0.00,0.00,0.00
29,-0.030534,-0.152672,-0.351145,-0.117920,-0.959229,-0.207275,0.00,0.00,0.00
30,-0.114504,0.160305,-0.465649,-0.119629,-0.958740,-0.215820,0.00,0.00,0.00
31,-0.320611,-0.106870,-0.427481,-0.116455,-0.963623,-0.209229,0.00,0.00,0.00
32,-0.267176,-0.122137,-0.389313,-0.110596,-0.962158,-0.218018,0.00,0.00,0.00
33,-0.198473,-0.152672,-0.213740,-0.119873,-0.957520,-0.210938,0.00,0.00,0.00
34,-0.297710,-0.045802,-0.412214,-0.115967,-0.962158,-0.221436,0.00,0.00,0.00
35,-0.312977,-0.083969,-0.427481,-0.115967,-0.957520,-0.213623,0.00,0.00,0.00
36,-0.251908,-0.389313,-0.282443,-0.112549,-0.965820,-0.212158,0.00,0.00,0.00
37,-0.274809,-0.335878,-0.297710,-0.112793,-0.961426,-0.213867,0.00,0.00,0.00
38,-0.259542,0.038168,-0.320611,-0.110107,-0.960693,-0.220215,0.00,0.00,0.00
39,-0.312977,0.045802,-0.274809,-0.109619,-0.957275,-0.211426,0.00,0.00,0.00
40,-0.083969,-0.068702,-0.236641,-0.115723,-0.965332,-0.215088,0.00,0.00,0.00
41,-0.175573,0.045802,0.045802,-0.112061,-0.955322,-0.213623,0.00,0.00,0.00
42,-0.198473,0.053435,0.015267,-0.119141,-0.962891,-0.201660,0.00,0.00,0.00
43,-0.274809,-0.061069,-0.167939,-0.117188,-0.965820,-0.212158,0.00,0.00,0.00
44,-0.282443,-0.030534,-0.312977,-0.122070,-0.962891,-0.214600,0.00,0.00,0.00
45,-0.328244,0.007634,-0.229008,-0.116211,-0.961426,-0.210938,0.00,0.00,0.00
46,-0.190840,-0.351145,-0.030534,-0.120605,-0.962158,-0.208008,0.00,0.00,0.00
47,-0.251908,-0.229008,-0.236641,-0.114746,-0.957764,-0.210938,0.00,0.00,0.00
48,-0.229008,-0.213740,-0.091603,-0.109131,-0.961182,-0.214111,0.00,0.00,0.00
49,-0.328244,-0.122137,-0.137405,-0.119873,-0.965332,-0.220703,0.00,0.00,0.00
50,-0.007634,-0.114504,-0.175573,-0.114990,-0.955566,-0.215820,0.00,0.00,0.00
51,-0.259542,-0.068702,-0.290076,-0.118164,-0.963135,-0.223633,0.00,0.00,0.00
52,-0.328244,0.030534,-0.137405,-0.120117,-0.957764,-0.208252,0.00,0.00,0.00
53,-0.419847,0.137405,-0.389313,-0.120117,-0.956055,-0.210205,0.00,0.00,0.00
54,-0.305344,-0.038168,-0.221374,-0.115967,-0.961426,-0.206299,0.00,0.00,0.00
55,-0.465649,-0.083969,-0.206107,-0.114746,-0.956543,-0.214355,0.00,0.00,0.00
56,-0.122137,-0.068702,-0.122137,-0.114258,-0.958496,-0.208984,0.00,0.00,0.00
57,-0.221374,0.030534,-0.175573,-0.115234,-0.958984,-0.220703,0.00,0.00,0.00
58,-0.427481,0.251908,0.022901,-0.120605,-0.959473,-0.214355,0.00,0.00,0.00
59,-0.274809,0.038168,-0.267176,-0.114014,-0.958740,-0.208496,0.00,0.00,0.00
60,-0.145038,0.122137,0.015267,-0.114502,-0.962646,-0.219971,0.00,0.00,0.00
61,-0.412214,0.160305,-0.015267,-0.112549,-0.961914,-0.206543,0.00,0.00,0.00
62,-0.374046,0.091603,-0.175573,-0.113770,-0.963623,-0.219727,0.00,0.00,0.00
63,-0.183206,0.015267,-0.015267,-0.117676,-0.968262,-0.211182,0.00,0.00,0.00
64,-0.038168,-0.114504,-0.106870,-0.114746,-0.956299,-0.220703,0.00,0.00,0.00
65,-0.282443,-0.282443,0.022901,-0.119141,-0.961182,-0.214600,0.00,0.00,0.00
66,-0.312977,-0.251908,-0.221374,-0.114258,-0.962891,-0.214600,0.00,0.00,0.00
67,-0.236641,-0.442748,-0.106870,-0.111084,-0.958496,-0.219482,0.00,0.00,0.00
68,-0.267176,-0.122137,-0.259542,-0.117188,-0.963867,-0.215820,0.00,0.00,0.00
69,-0.374046,0.015267,-0.198473,-0.114746,-0.961670,-0.226318,0.00,0.00,0.00
70,-0.335878,0.503817,-0.206107,-0.120850,-0.958008,-0.215088,0.00,0.00,0.00
71,-0.419847,0.511450,-0.251908,-0.114990,-0.964600,-0.219238,0.00,0.00,0.00
72,-0.351145,1.167939,-0.030534,-0.101074,-0.963623,-0.219727,0.00,0.00,0.00
73,-0.083969,0.709924,0.068702,-0.106201,-0.963867,-0.230469,0.00,0.00,0.00
74,-0.076336,1.458015,-0.045802,-0.123047,-0.966064,-0.199951,0.00,0.00,0.00
75,-0.290076,-0.305344,-0.053435,-0.132080,-0.955811,-0.208252,0.00,0.00,0.00
76,-0.580153,-0.099237,-0.687023,-0.127686,-0.959473,-0.209229,0.00,0.00,0.00
77,-0.511450,0.297710,-0.732824,-0.120117,-0.965576,-0.224365,0.00,0.00,0.00
78,-0.450382,-0.389313,-0.755725,-0.118408,-0.967041,-0.222412,0.00,0.00,0.00
79,-0.603053,0.160305,-0.618321,-0.116455,-0.965820,-0.218262,0.00,0.00,0.00
80,-0.389313,-0.061069,-0.687023,-0.117920,-0.966064,-0.212158,0.00,0.00,0.00
81,-0.725191,-0.076336,-0.900763,-0.113525,-0.957275,-0.208984,0.00,0.00,0.00
82,-0.656489,0.000000,-0.809160,-0.104004,-0.958984,-0.208008,0.00,0.00,0.00
83,-0.610687,0.152672,-0.786260,-0.108154,-0.963135,-0.220947,0.00,0.00,0.00
84,-0.419847,0.328244,-0.801527,-0.119629,-0.966064,-0.224121,0.00,0.00,0.00
85,-0.381679,0.923664,-0.809160,-0.124268,-0.958496,-0.207031,0.00,0.00,0.00
86,-0.641221,0.381679,-0.854962,-0.125488,-0.952393,-0.209473,0.00,0.00,0.00
87,-0.832061,0.580153,-1.106870,-0.114990,-0.960938,-0.207031,0.00,0.00,0.00
88,-0.427481,0.374046,-1.106870,-0.117676,-0.965576,-0.232422,0.00,0.00,0.00
89,-0.381679,0.465649,-1.412214,-0.119385,-0.970459,-0.218994,0.00,0.00,0.00
90,-0.458015,1.068702,-1.167939,-0.119141,-0.960693,-0.203857,0.00,0.00,0.00
91,-0.755725,0.442748,-1.465649,-0.118408,-0.961182,-0.199463,0.00,0.00,0.00
92,-0.839695,0.664122,-1.763359,-0.111816,-0.967773,-0.202148,0.00,0.00,0.00
93,-0.992366,0.351145,-1.740458,-0.126465,-0.968018,-0.211426,0.00,0.00,0.00
94,-0.946565,0.267176,-2.038168,-0.124756,-0.960938,-0.212891,0.00,0.00,0.00
95,-0.992366,0.244275,-2.274809,-0.116943,-0.965576,-0.208496,0.00,0.00,0.00
96,-1.404580,0.549618,-2.366412,-0.118408,-0.967529,-0.207520,0.00,0.00,0.00
97,-1.000000,1.305344,-2.595420,-0.107666,-0.978271,-0.211426,0.00,0.00,0.00
98,-1.038168,1.473282,-2.541985,-0.105713,-0.968994,-0.207520,0.00,0.00,0.00
99,-1.167939,1.343511,-3.015267,-0.113037,-0.971436,-0.222412,0.00,0.00,0.00
100,-1.587786,1.603053,-2.862595,-0.125000,-0.965576,-0.213135,0.00,0.00,0.00
