Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
1,-0.068702,0.061069,-0.221374,0.024658,-0.986084,-0.104004,0.00,0.00,0.00
2,-0.015267,-0.160305,-0.267176,0.036133,-0.987061,-0.104980,0.00,0.00,0.00
3,0.091603,-0.213740,-0.244275,0.025146,-0.986572,-0.107422,0.00,0.00,0.00
4,-0.038168,-0.122137,-0.351145,0.023682,-0.989258,-0.106445,0.00,0.00,0.00
5,-0.106870,0.038168,-0.190840,0.031494,-0.991211,-0.102295,0.00,0.00,0.00
6,-0.198473,-0.244275,-0.282443,0.031982,-0.987305,-0.098633,0.00,0.00,0.00
7,-0.007634,-0.229008,-0.213740,0.023193,-0.990479,-0.100342,0.00,0.00,0.00
8,-0.190840,-0.267176,-0.404580,0.022461,-0.984619,-0.112549,0.00,0.00,0.00
9,-0.114504,-0.007634,-0.274809,0.031006,-0.980469,-0.106934,0.00,0.00,0.00
10,-0.328244,-0.206107,-0.343511,0.027100,-0.987305,-0.113281,0.00,0.00,0.00
11,-0.320611,-0.259542,-0.320611,0.028564,-0.982178,-0.096924,0.00,0.00,0.00
12,0.038168,-0.145038,-0.076336,0.036377,-0.985840,-0.107178,0.00,0.00,0.00
13,-0.145038,-0.167939,-0.122137,0.022949,-0.989014,-0.105957,0.00,0.00,0.00
14,-0.282443,0.007634,-0.236641,0.030518,-0.985352,-0.095703,0.00,0.00,0.00
15,-0.290076,-0.083969,0.022901,0.030762,-0.983154,-0.101807,0.00,0.00,0.00
16,-0.335878,0.106870,-0.175573,0.029785,-0.982178,-0.108398,0.00,0.00,0.00
17,-0.290076,0.022901,-0.312977,0.023193,-0.985840,-0.108154,0.00,0.00,0.00
18,-0.488550,-0.129771,-0.190840,0.026611,-0.984375,-0.109619,0.00,0.00,0.00
19,-0.274809,0.152672,-0.183206,0.024414,-0.987305,-0.099854,0.00,0.00,0.00
20,-0.557252,-0.122137,0.045802,0.028076,-0.978760,-0.101318,0.00,0.00,0.00
21,-0.473282,0.137405,-0.213740,0.024902,-0.990723,-0.113770,0.00,0.00,0.00
22,-0.465649,-0.022901,-0.229008,0.026367,-0.983887,-0.117676,0.00,0.00,0.00
23,-0.396947,0.022901,-0.251908,0.029297,-0.984619,-0.103760,0.00,0.00,0.00
24,-0.305344,0.007634,-0.038168,0.025146,-0.992676,-0.101074,0.00,0.00,0.00
25,-0.305344,-0.007634,-0.167939,0.022461,-0.987549,-0.099365,0.00,0.00,0.00
26,-0.267176,-0.061069,-0.076336,0.027100,-0.981689,-0.094238,0.00,0.00,0.00
27,-0.328244,0.015267,0.038168,0.023438,-0.984131,-0.105225,0.00,0.00,0.00
28,-0.312977,-0.206107,-0.099237,0.017578,-0.984619,-0.106689,0.00,0.00,0.00
