Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
1,-0.07634,-0.10687,-0.24427,0.09229,-0.06763,0.98560,0.00,0.00,0.00
2,-0.09160,0.05344,-0.14504,0.08911,-0.07568,0.99951,0.00,0.00,0.00
3,-0.10687,0.19084,0.06870,0.09106,-0.06689,1.00220,0.00,0.00,0.00
4,-0.21374,-0.15267,-0.13740,0.09521,-0.06201,0.98730,0.00,0.00,0.00
5,-0.10687,-0.03817,-0.09160,0.09155,-0.06958,0.99390,0.00,0.00,0.00
6,0.09160,-0.05344,-0.17557,0.08984,-0.07251,0.99316,0.00,0.00,0.00
7,-0.02290,-0.09160,-0.22137,0.09521,-0.07495,0.99658,0.00,0.00,0.00
8,0.12977,-0.05344,-0.04580,0.09912,-0.07251,0.98975,0.00,0.00,0.00
9,-0.02290,0.25191,-0.24427,0.09033,-0.06934,0.99194,0.00,0.00,0.00
10,-0.21374,0.19847,-0.20611,0.09082,-0.06641,0.99072,0.00,0.00,0.00
11,0.00763,0.06107,-0.01527,0.09009,-0.06616,0.98633,0.00,0.00,0.00
12,-0.16031,0.03817,0.03053,0.08765,-0.07080,0.99438,0.00,0.00,0.00
13,-0.13740,0.09924,-0.25191,0.09277,-0.07397,0.99121,0.00,0.00,0.00
14,-0.06107,0.15267,-0.16794,0.09351,-0.06641,0.99072,0.00,0.00,0.00
15,-0.18321,-0.11450,-0.10687,0.09082,-0.07056,0.98633,0.00,0.00,0.00
16,-0.22901,0.23664,0.08397,0.08887,-0.07129,0.99023,0.00,0.00,0.00
17,-0.23664,0.17557,-0.25191,0.09814,-0.07031,0.99292,0.00,0.00,0.00
18,-0.16031,0.25191,-0.35115,0.09277,-0.07227,0.99756,0.00,0.00,0.00
19,-0.06107,0.16794,-0.13740,0.09424,-0.07153,0.99512,0.00,0.00,0.00
20,-0.11450,-0.04580,-0.05344,0.09131,-0.06836,0.99146,0.00,0.00,0.00
21,-0.10687,0.38931,-0.12977,0.09033,-0.07373,0.98584,0.00,0.00,0.00
22,-0.22901,0.23664,-0.27481,0.08716,-0.07080,0.98804,0.00,0.00,0.00
23,-0.14504,0.27481,-0.06107,0.09155,-0.06982,0.99438,0.00,0.00,0.00
24,-0.02290,0.25954,-0.17557,0.08740,-0.07690,0.98779,0.00,0.00,0.00
25,-0.25954,0.22137,-0.22137,0.09009,-0.06763,0.98437,0.00,0.00,0.00
26,-0.38168,0.52672,-0.18321,0.09326,-0.07178,0.99023,0.00,0.00,0.00
27,-0.09160,0.29008,-0.11450,0.09229,-0.07397,0.98071,0.00,0.00,0.00
28,-0.12977,0.12977,-0.06107,0.08716,-0.07031,0.98315,0.00,0.00,0.00
29,-0.17557,0.14504,-0.09924,0.09473,-0.07495,0.99609,0.00,0.00,0.00
30,-0.06107,0.12977,-0.13740,0.09351,-0.07031,0.98779,0.00,0.00,0.00
31,-0.27481,0.27481,-0.24427,0.09131,-0.06787,0.98853,0.00,0.00,0.00
32,-0.06107,0.32061,-0.23664,0.09229,-0.07422,0.98560,0.00,0.00,0.00
33,0.16031,0.10687,-0.15267,0.09253,-0.07324,0.98511,0.00,0.00,0.00
34,-0.12214,0.07634,-0.22137,0.08423,-0.07471,0.98755,0.00,0.00,0.00
35,-0.14504,0.09160,-0.30534,0.08911,-0.07153,0.98218,0.00,0.00,0.00
36,-0.25954,0.28244,-0.09160,0.09497,-0.06445,0.99243,0.00,0.00,0.00
37,-0.16794,0.12977,-0.17557,0.09644,-0.07300,0.98584,0.00,0.00,0.00
38,0.06107,0.31298,-0.12977,0.09131,-0.06958,0.98877,0.00,0.00,0.00
39,-0.03053,0.09924,-0.29008,0.08667,-0.06860,0.98755,0.00,0.00,0.00
40,-0.23664,0.35878,-0.14504,0.09424,-0.07446,0.99414,0.00,0.00,0.00
41,-0.17557,0.29008,-0.00763,0.09229,-0.07446,0.99512,0.00,0.00,0.00
42,0.03817,0.33588,-0.12977,0.08813,-0.07104,0.99731,0.00,0.00,0.00
43,-0.03053,0.15267,-0.32061,0.08423,-0.07349,0.99219,0.00,0.00,0.00
44,-0.06107,0.15267,-0.03817,0.08838,-0.06592,0.98804,0.00,0.00,0.00
45,-0.22901,0.12214,-0.24427,0.08691,-0.07202,0.99463,0.00,0.00,0.00
46,0.11450,-0.07634,-0.10687,0.09229,-0.07202,0.98755,0.00,0.00,0.00
47,0.23664,-0.00763,-0.15267,0.08594,-0.07397,0.98877,0.00,0.00,0.00
48,-0.19084,0.27481,-0.07634,0.08984,-0.06445,0.99341,0.00,0.00,0.00
49,-0.21374,0.15267,-0.11450,0.09033,-0.06299,0.98926,0.00,0.00,0.00
50,-0.09924,0.16794,-0.09924,0.09180,-0.06982,0.99072,0.00,0.00,0.00
51,0.16031,-0.01527,-0.20611,0.09546,-0.07495,0.99072,0.00,0.00,0.00
52,-0.10687,-0.05344,-0.17557,0.09058,-0.07373,0.98804,0.00,0.00,0.00
53,-0.15267,0.19084,-0.05344,0.09106,-0.06763,0.99512,0.00,0.00,0.00
54,0.00763,0.35115,-0.13740,0.09277,-0.06738,0.98560,0.00,0.00,0.00
55,-0.01527,0.05344,0.04580,0.08545,-0.06689,0.98950,0.00,0.00,0.00
56,-0.20611,-0.07634,-0.16031,0.09155,-0.07471,0.98877,0.00,0.00,0.00
57,0.08397,0.31298,-0.24427,0.08838,-0.07642,0.98413,0.00,0.00,0.00
58,-0.04580,0.27481,-0.11450,0.09058,-0.07056,0.98755,0.00,0.00,0.00
59,-0.20611,0.09160,0.02290,0.08911,-0.07422,0.99121,0.00,0.00,0.00
60,-0.38168,0.27481,-0.07634,0.09351,-0.07227,0.98853,0.00,0.00,0.00
61,-0.18321,0.37405,-0.05344,0.09082,-0.07104,0.98853,0.00,0.00,0.00
62,0.05344,-0.10687,0.00763,0.08765,-0.07300,1.00049,0.00,0.00,0.00
63,-0.06107,-0.14504,-0.34351,0.09424,-0.07275,0.98437,0.00,0.00,0.00
64,-0.08397,0.16031,-0.12977,0.08838,-0.07471,0.99097,0.00,0.00,0.00
65,-0.16031,-0.05344,-0.06107,0.09009,-0.06787,0.99219,0.00,0.00,0.00
66,0.04580,0.15267,-0.24427,0.08789,-0.06470,0.98657,0.00,0.00,0.00
67,-0.10687,-0.05344,-0.19084,0.09473,-0.07153,0.99170,0.00,0.00,0.00
68,-0.10687,0.18321,-0.21374,0.09204,-0.07446,0.99243,0.00,0.00,0.00
69,0.10687,-0.08397,0.02290,0.09497,-0.06860,0.98877,0.00,0.00,0.00
